id,text,label
4744755626640062,#股灾#我觉得倒也没啥，图片是去年5.19币圈大崩时截得，去年11月份不也涨上去了，最近A股跌了10几个点也算正常吧，这个时候沉住气才行，心态最重要。昨天晚上美股跌的也挺厉害，看来俄罗斯乌克兰这战争一时半会儿怕是结束不了。,乌克兰
4744755555338625,大A连续两天巨震，今日早上快速跳水，上证50曾一度跌破60月均线，获得支撑展开反弹，两市成交量持续放大，但北上资金并没大举流出，走势诡异，是否借俄乌危机刻意打压挖坑，完成中期调整的探底。目前俄乌战事已定格，俄罗斯得到中国的支持下无惧欧美花式制裁，在家门口收拾乌克兰如探囊取物，完全掌控...全文,乌克兰
4744755555336369,战争发生后，原本滞留在欧洲的乌克兰男性有14万人放弃安全的欧洲选择回到战乱中的祖国，选择战斗保卫祖国！,乌克兰
4744755537775210,【央视财经：第三轮俄乌谈判未取得实质结果将举行第四轮谈判】当地时间7日晚，俄罗斯与乌克兰的第三轮谈判在白俄罗斯的布列斯特州别洛韦日森林结束。双方讨论了政治解决冲突、军事问题和人道主义通道问题，但没有取得实质结果，双方表示将举行第四轮谈判。俄罗斯代表团团长、总统助理梅金斯基在谈判...全文,乌克兰
4744755404079338,发布了头条文章：《“生死悬线等不来救援！”战区惊魂记，滞留在乌克兰的法国人怎么样》“生死悬线等不来救援！”战区惊魂记，滞留在乌克兰的法国人怎么样,乌克兰
4744755349553820,现在最希望俄乌战争停止的应该是德国和法国这些欧洲老大，而最希望打仗的是美国跟他的狗腿子（东欧那些马屁精），俄罗斯跟乌克兰的战争拖延，俄罗斯因为油气资源大涨，一天进账几十亿美元，还扛得住，现在乌克兰才百万难民进入欧洲，后面随着东乌的难民不断地撤出，三四百万进入欧洲估计都打不止，欧...全文,乌克兰
4744755252826589,对乌克兰指挥中枢的打击还远远不够//分享网易新闻:《俄乌谈判俄方代表团团长：乌方已承诺8日将正常开启人道主义走廊》俄乌谈判俄方代表团团长：乌方已承诺8日将正常开启人道主义走廊@网易新闻客户端#网易新闻#,乌克兰
4744755144297927,宽窄观察#俄罗斯乌克兰局势#白宫发言人普萨基声称要制裁中国。狗屁逻辑，胡言乱语，等于放屁！,乌克兰
4744755135907712,#财新图片#【聚焦战火中的#乌克兰女性#】当地时间2022年3月5日，波兰科尔佐瓦，逃离乌克兰的难民抵达。一名女子和她的孩子在公交上。聚焦战火中的乌克兰女性,乌克兰
4744754909153406,#又有两架接返自乌克兰撤离中国公民临时航班安全回国#欢迎回家,乌克兰
4744754866684757,"外籍学生被困乌克兰高呼""让我们回家""。#乌总统发布视频称自己仍在基辅##关注俄乌局势最新进展##俄罗斯乌克兰战况#衝鋒号角的微博视频",乌克兰
4744754829721981,#乌外长点名指责可口可乐麦当劳#【乌克兰外长：所有西方公司都必须撤出俄罗斯，点名可口可乐麦当劳】据美国有线电视新闻网（CNN）6日报道，乌克兰外交部长德米特里·库列巴呼吁，所有西方公司都必须撤出俄罗斯，理由是“人道主义”。#乌外长呼吁所有西方公司撤出俄罗斯#库列巴在6日接受CNN采访时告诉...全文,乌克兰
4744754829721715,请因为本尼为乌克兰发声所以说本尼辱华的人来看看,乌克兰
4744754821071493,美国疫情有多严重？因为疫情美国一天死亡的人比俄罗斯乌克兰打了一个星期的仗死的人都多……愿疫情早日结束吧,乌克兰
4744754685807539,【#泽连斯基自拍展示办公室外景#：我仍在基辅，不怕任何人】当地时间3月7日，乌克兰总统泽连斯基发布了一段视频，展示了总统府办公室的窗外景色。这是自俄乌冲突开始以来，他首次在总统府办公室录制视频讲话，他强调自己仍在基辅。#乌总统发布视频称自己仍在基辅#泽连斯基自拍展示办公室外景：我仍在基...全文,乌克兰
4744754669293312,乌克兰插画家NinaDzyvulska,乌克兰
4744754564170626,#乌总统发布视频称自己仍在基辅#这才是真正的为了自己可以作为“英雄”青史留名而无耻卑劣到极致的一个东西。你不怕？你给平民发枪？你不怕？平民要离开乌克兰你封锁人道主义通道？你不怕？你天天嚎？你不怕？你天天躲在安全的地方拍视频作秀煽动冲突升级？？你不怕！你去前线拿起枪，保护你的人...全文,乌克兰
4744754559980289,🆘🆘🆘🆘🆘所以现在每个周二下午的传统文化创新课都要一起分析乌克兰局势吗长沙·河西大学城,乌克兰
4744754519083706,3月7日资讯，这次在乌克兰的俄军再次为了开辟人道主义通道而进入静默状态，俄罗斯官方说明里是说“应马克龙个人请求”。,乌克兰
